Data Flow ID,Flow Run Date,BM Unit Id,Settlement Date,Settlement Run Type,CDCA Run Number,Date of Aggregation,Settlement Period,Estimate Indicator,Meter Volume,Import/Export Indicator
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,1,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,2,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,3,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,4,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,5,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,6,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,7,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,8,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,9,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,10,F,0,E
C0421002,20240102,T_DRAXX-1,20221110,RF,13,20231229,11,F,0,E
