DATETIME,GAS,COAL,NUCLEAR,WIND,WIND_EMB,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,GENERATION,CARBON_INTENSITY,LOW_CARBON,ZERO_CARBON,RENEWABLE,FOSSIL,GAS_perc,COAL_perc,NUCLEAR_perc,WIND_perc,WIND_EMB_perc,HYDRO_perc,IMPORTS_perc,BIOMASS_perc,OTHER_perc,SOLAR_perc,STORAGE_perc,GENERATION_perc,LOW_CARBON_perc,ZERO_CARBON_perc,RENEWABLE_perc,FOSSIL_perc
2009-01-01T00:00:00,8367.0,15037.0,7099.0,248.0,62.0,246,2518.0,0.0,0.0,0.0,0,33577.0,524.0,7655.0,7593.0,556.0,23404.0,24.9,44.8,21.1,0.7,0.2,0.7,7.5,0.0,0.0,0.0,0.0,100.0,22.8,24.5,1.7,69.7
2009-01-01T00:30:00,8495.0,15095.0,7088.0,229.0,57.0,245,2495.0,0.0,0.0,0.0,0,33704.0,526.0,7618.0,7561.0,531.0,23590.0,25.2,44.8,21.0,0.7,0.2,0.7,7.4,0.0,0.0,0.0,0.0,100.0,22.6,24.3,1.6,70.0
2009-01-01T01:00:00,8471.0,15088.0,7074.0,207.0,52.0,246,2465.0,0.0,0.0,0.0,0,33603.0,527.0,7578.0,7527.0,504.0,23560.0,25.2,44.9,21.1,0.6,0.2,0.7,7.3,0.0,0.0,0.0,0.0,100.0,22.6,24.2,1.5,70.1
2009-01-01T01:30:00,8318.0,15035.0,7064.0,191.0,48.0,246,2439.0,0.0,0.0,0.0,0,33340.0,527.0,7549.0,7501.0,484.0,23352.0,24.9,45.1,21.2,0.6,0.1,0.7,7.3,0.0,0.0,0.0,0.0,100.0,22.6,24.3,1.5,70.0
2009-01-01T02:00:00,8295.0,15005.0,7052.0,175.0,44.0,246,2363.0,0.0,0.0,0.0,0,33179.0,528.0,7517.0,7473.0,465.0,23299.0,25.0,45.2,21.3,0.5,0.1,0.7,7.1,0.0,0.0,0.0,0.0,100.0,22.7,24.3,1.4,70.2
2009-01-01T02:30:00,8304.0,15018.0,7041.0,162.0,40.0,236,2336.0,0.0,0.0,0.0,0,33137.0,529.0,7479.0,7439.0,438.0,23322.0,25.1,45.3,21.2,0.5,0.1,0.7,7.1,0.0,0.0,0.0,0.0,100.0,22.6,24.2,1.3,70.4
2009-01-01T03:00:00,8358.0,15010.0,7030.0,155.0,39.0,226,2206.0,0.0,0.0,0.0,0,33024.0,531.0,7451.0,7412.0,420.0,23368.0,25.3,45.5,21.3,0.5,0.1,0.7,6.7,0.0,0.0,0.0,0.0,100.0,22.6,24.1,1.3,70.8
2009-01-01T03:30:00,8314.0,14968.0,7020.0,143.0,36.0,225,2171.0,0.0,0.0,0.0,0,32877.0,531.0,7424.0,7388.0,404.0,23282.0,25.3,45.5,21.4,0.4,0.1,0.7,6.6,0.0,0.0,0.0,0.0,100.0,22.6,24.1,1.2,70.8
2009-01-01T04:00:00,8547.0,15050.0,7008.0,132.0,33.0,225,1936.0,0.0,0.0,0.0,0,32931.0,534.0,7398.0,7365.0,390.0,23597.0,26.0,45.7,21.3,0.4,0.1,0.7,5.9,0.0,0.0,0.0,0.0,100.0,22.5,23.8,1.2,71.7
2009-01-01T04:30:00,8810.0,15157.0,6999.0,124.0,31.0,224,1900.0,0.0,0.0,0.0,0,33245.0,535.0,7378.0,7347.0,379.0,23968.0,26.5,45.6,21.1,0.4,0.1,0.7,5.7,0.0,0.0,0.0,0.0,100.0,22.2,23.5,1.1,72.1
2009-01-01T05:00:00,9513.0,15469.0,6987.0,127.0,32.0,224,1790.0,0.0,0.0,0.0,0,34142.0,538.0,7370.0,7338.0,383.0,24982.0,27.9,45.3,20.5,0.4,0.1,0.7,5.2,0.0,0.0,0.0,0.0,100.0,21.6,22.7,1.1,73.2
